algorithm	labels
glycosamin_1224-omicsintegrator2-params-NIXQON6	1
glycosamin_1224-omicsintegrator2-params-I5EKII6	1
glycosamin_1224-omicsintegrator2-params-ON3OUHY	1
glycosamin_1224-omicsintegrator2-params-RCXKAY7	1
glycosamin_1224-omicsintegrator2-params-KMHTT5N	1
glycosamin_1224-omicsintegrator2-params-JHH34ZE	1
glycosamin_1224-omicsintegrator2-params-Z2C4Y5G	1
glycosamin_1224-omicsintegrator2-params-R2T74G3	1
glycosamin_1224-omicsintegrator2-params-O3SYN4K	1
glycosamin_1224-omicsintegrator2-params-K2CK6DC	3
glycosamin_1224-omicsintegrator2-params-ISZN2DE	3
glycosamin_1224-omicsintegrator2-params-J5QF4A3	3
glycosamin_1224-omicsintegrator2-params-ROZICUS	1
glycosamin_1224-omicsintegrator2-params-B6FPMEP	1
glycosamin_1224-omicsintegrator2-params-G6QWKUF	1
glycosamin_1224-omicsintegrator2-params-RNOITRI	1
glycosamin_1224-omicsintegrator2-params-24QHVS5	1
glycosamin_1224-omicsintegrator2-params-H5EGTCE	1
glycosamin_1224-omicsintegrator2-params-SX6MWZF	2
glycosamin_1224-omicsintegrator2-params-YYQQGSW	0
glycosamin_1224-omicsintegrator2-params-VKYXWNI	0
glycosamin_1224-omicsintegrator2-params-JMDFQGQ	2
glycosamin_1224-omicsintegrator2-params-2WECIOD	0
glycosamin_1224-omicsintegrator2-params-XLW3AU2	0
glycosamin_1224-omicsintegrator2-params-TK757XH	1
glycosamin_1224-omicsintegrator2-params-G3MKBIH	1
glycosamin_1224-omicsintegrator2-params-62LFP5D	1
glycosamin_1224-omicsintegrator2-params-QGDDCNR	2
glycosamin_1224-omicsintegrator2-params-BERGTKM	0
glycosamin_1224-omicsintegrator2-params-QUD5DGU	0
glycosamin_1224-omicsintegrator2-params-VUTDEKI	2
glycosamin_1224-omicsintegrator2-params-G5PCTWW	0
glycosamin_1224-omicsintegrator2-params-BLZ4Z5H	0
glycosamin_1224-omicsintegrator2-params-QA7UVT2	2
glycosamin_1224-omicsintegrator2-params-EUXS342	0
glycosamin_1224-omicsintegrator2-params-2ETE5TC	0
glycosamin_1224-omicsintegrator2-params-XQYZBRY	2
glycosamin_1224-omicsintegrator2-params-K44Y7SY	0
glycosamin_1224-omicsintegrator2-params-RIX5P6Y	0
glycosamin_1224-omicsintegrator2-params-KSSGLIJ	2
glycosamin_1224-omicsintegrator2-params-VOU2GLP	0
glycosamin_1224-omicsintegrator2-params-3XS3BUE	0
glycosamin_1224-omicsintegrator2-params-GWFZFC3	2
glycosamin_1224-omicsintegrator2-params-BBDIWEE	0
glycosamin_1224-omicsintegrator2-params-WSTZQ5T	0
glycosamin_1224-omicsintegrator2-params-FCBNYQN	2
glycosamin_1224-omicsintegrator2-params-ZK2ZPTQ	0
glycosamin_1224-omicsintegrator2-params-E7S3CYK	0
glycosamin_1224-omicsintegrator2-params-JDGM2QR	2
glycosamin_1224-omicsintegrator2-params-2VM5MQL	0
glycosamin_1224-omicsintegrator2-params-O2NMIFG	0
glycosamin_1224-omicsintegrator2-params-GIILIYF	2
glycosamin_1224-omicsintegrator2-params-DGG4UVF	0
glycosamin_1224-omicsintegrator2-params-CIOIRMT	0
