algorithm	labels
porphyrin_4873-omicsintegrator2-params-NIXQON6	1
porphyrin_4873-omicsintegrator2-params-I5EKII6	1
porphyrin_4873-omicsintegrator2-params-ON3OUHY	1
porphyrin_4873-omicsintegrator2-params-RCXKAY7	1
porphyrin_4873-omicsintegrator2-params-KMHTT5N	1
porphyrin_4873-omicsintegrator2-params-JHH34ZE	1
porphyrin_4873-omicsintegrator2-params-Z2C4Y5G	1
porphyrin_4873-omicsintegrator2-params-R2T74G3	1
porphyrin_4873-omicsintegrator2-params-O3SYN4K	1
porphyrin_4873-omicsintegrator2-params-K2CK6DC	9
porphyrin_4873-omicsintegrator2-params-ISZN2DE	9
porphyrin_4873-omicsintegrator2-params-J5QF4A3	5
porphyrin_4873-omicsintegrator2-params-ROZICUS	1
porphyrin_4873-omicsintegrator2-params-B6FPMEP	1
porphyrin_4873-omicsintegrator2-params-G6QWKUF	1
porphyrin_4873-omicsintegrator2-params-RNOITRI	1
porphyrin_4873-omicsintegrator2-params-24QHVS5	1
porphyrin_4873-omicsintegrator2-params-H5EGTCE	1
porphyrin_4873-omicsintegrator2-params-SX6MWZF	10
porphyrin_4873-omicsintegrator2-params-YYQQGSW	10
porphyrin_4873-omicsintegrator2-params-VKYXWNI	6
porphyrin_4873-omicsintegrator2-params-JMDFQGQ	10
porphyrin_4873-omicsintegrator2-params-2WECIOD	10
porphyrin_4873-omicsintegrator2-params-XLW3AU2	3
porphyrin_4873-omicsintegrator2-params-TK757XH	10
porphyrin_4873-omicsintegrator2-params-G3MKBIH	10
porphyrin_4873-omicsintegrator2-params-62LFP5D	1
porphyrin_4873-omicsintegrator2-params-QGDDCNR	10
porphyrin_4873-omicsintegrator2-params-BERGTKM	10
porphyrin_4873-omicsintegrator2-params-QUD5DGU	2
porphyrin_4873-omicsintegrator2-params-VUTDEKI	10
porphyrin_4873-omicsintegrator2-params-G5PCTWW	10
porphyrin_4873-omicsintegrator2-params-BLZ4Z5H	4
porphyrin_4873-omicsintegrator2-params-QA7UVT2	10
porphyrin_4873-omicsintegrator2-params-EUXS342	10
porphyrin_4873-omicsintegrator2-params-2ETE5TC	7
porphyrin_4873-omicsintegrator2-params-XQYZBRY	10
porphyrin_4873-omicsintegrator2-params-K44Y7SY	10
porphyrin_4873-omicsintegrator2-params-RIX5P6Y	2
porphyrin_4873-omicsintegrator2-params-KSSGLIJ	10
porphyrin_4873-omicsintegrator2-params-VOU2GLP	10
porphyrin_4873-omicsintegrator2-params-3XS3BUE	8
porphyrin_4873-omicsintegrator2-params-GWFZFC3	10
porphyrin_4873-omicsintegrator2-params-BBDIWEE	10
porphyrin_4873-omicsintegrator2-params-WSTZQ5T	8
porphyrin_4873-omicsintegrator2-params-FCBNYQN	10
porphyrin_4873-omicsintegrator2-params-ZK2ZPTQ	10
porphyrin_4873-omicsintegrator2-params-E7S3CYK	2
porphyrin_4873-omicsintegrator2-params-JDGM2QR	10
porphyrin_4873-omicsintegrator2-params-2VM5MQL	10
porphyrin_4873-omicsintegrator2-params-O2NMIFG	8
porphyrin_4873-omicsintegrator2-params-GIILIYF	10
porphyrin_4873-omicsintegrator2-params-DGG4UVF	10
porphyrin_4873-omicsintegrator2-params-CIOIRMT	8
