algorithm	labels
drug_metab_1801-omicsintegrator2-params-NIXQON6	1
drug_metab_1801-omicsintegrator2-params-I5EKII6	1
drug_metab_1801-omicsintegrator2-params-ON3OUHY	1
drug_metab_1801-omicsintegrator2-params-RCXKAY7	1
drug_metab_1801-omicsintegrator2-params-KMHTT5N	1
drug_metab_1801-omicsintegrator2-params-JHH34ZE	1
drug_metab_1801-omicsintegrator2-params-Z2C4Y5G	1
drug_metab_1801-omicsintegrator2-params-R2T74G3	1
drug_metab_1801-omicsintegrator2-params-O3SYN4K	1
drug_metab_1801-omicsintegrator2-params-K2CK6DC	4
drug_metab_1801-omicsintegrator2-params-ISZN2DE	4
drug_metab_1801-omicsintegrator2-params-J5QF4A3	1
drug_metab_1801-omicsintegrator2-params-ROZICUS	4
drug_metab_1801-omicsintegrator2-params-B6FPMEP	1
drug_metab_1801-omicsintegrator2-params-G6QWKUF	1
drug_metab_1801-omicsintegrator2-params-RNOITRI	1
drug_metab_1801-omicsintegrator2-params-24QHVS5	1
drug_metab_1801-omicsintegrator2-params-H5EGTCE	1
drug_metab_1801-omicsintegrator2-params-SX6MWZF	5
drug_metab_1801-omicsintegrator2-params-YYQQGSW	5
drug_metab_1801-omicsintegrator2-params-VKYXWNI	2
drug_metab_1801-omicsintegrator2-params-JMDFQGQ	5
drug_metab_1801-omicsintegrator2-params-2WECIOD	5
drug_metab_1801-omicsintegrator2-params-XLW3AU2	1
drug_metab_1801-omicsintegrator2-params-TK757XH	5
drug_metab_1801-omicsintegrator2-params-G3MKBIH	5
drug_metab_1801-omicsintegrator2-params-62LFP5D	1
drug_metab_1801-omicsintegrator2-params-QGDDCNR	5
drug_metab_1801-omicsintegrator2-params-BERGTKM	5
drug_metab_1801-omicsintegrator2-params-QUD5DGU	2
drug_metab_1801-omicsintegrator2-params-VUTDEKI	5
drug_metab_1801-omicsintegrator2-params-G5PCTWW	5
drug_metab_1801-omicsintegrator2-params-BLZ4Z5H	1
drug_metab_1801-omicsintegrator2-params-QA7UVT2	5
drug_metab_1801-omicsintegrator2-params-EUXS342	5
drug_metab_1801-omicsintegrator2-params-2ETE5TC	1
drug_metab_1801-omicsintegrator2-params-XQYZBRY	5
drug_metab_1801-omicsintegrator2-params-K44Y7SY	5
drug_metab_1801-omicsintegrator2-params-RIX5P6Y	2
drug_metab_1801-omicsintegrator2-params-KSSGLIJ	5
drug_metab_1801-omicsintegrator2-params-VOU2GLP	5
drug_metab_1801-omicsintegrator2-params-3XS3BUE	3
drug_metab_1801-omicsintegrator2-params-GWFZFC3	5
drug_metab_1801-omicsintegrator2-params-BBDIWEE	5
drug_metab_1801-omicsintegrator2-params-WSTZQ5T	3
drug_metab_1801-omicsintegrator2-params-FCBNYQN	5
drug_metab_1801-omicsintegrator2-params-ZK2ZPTQ	5
drug_metab_1801-omicsintegrator2-params-E7S3CYK	2
drug_metab_1801-omicsintegrator2-params-JDGM2QR	5
drug_metab_1801-omicsintegrator2-params-2VM5MQL	5
drug_metab_1801-omicsintegrator2-params-O2NMIFG	3
drug_metab_1801-omicsintegrator2-params-GIILIYF	5
drug_metab_1801-omicsintegrator2-params-DGG4UVF	5
drug_metab_1801-omicsintegrator2-params-CIOIRMT	3
