algorithm	PC1	PC2
galactose_4802-omicsintegrator2-params-NIXQON6	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-I5EKII6	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-ON3OUHY	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-RCXKAY7	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-KMHTT5N	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-JHH34ZE	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-Z2C4Y5G	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-R2T74G3	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-O3SYN4K	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-K2CK6DC	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-ISZN2DE	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-J5QF4A3	2.445984412942683	0.008186419943624136
galactose_4802-omicsintegrator2-params-ROZICUS	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-B6FPMEP	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-G6QWKUF	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-RNOITRI	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-24QHVS5	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-H5EGTCE	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-SX6MWZF	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-YYQQGSW	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-VKYXWNI	2.445984412942683	0.008186419943624136
galactose_4802-omicsintegrator2-params-JMDFQGQ	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-2WECIOD	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-XLW3AU2	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-TK757XH	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-G3MKBIH	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-62LFP5D	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-QGDDCNR	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-BERGTKM	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-QUD5DGU	0.8619155541274073	-0.03026312735009605
galactose_4802-omicsintegrator2-params-VUTDEKI	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-G5PCTWW	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-BLZ4Z5H	-0.7111275302066355	-0.060472634155526575
galactose_4802-omicsintegrator2-params-QA7UVT2	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-EUXS342	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-2ETE5TC	3.212297806813675	0.027719595466479716
galactose_4802-omicsintegrator2-params-XQYZBRY	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-K44Y7SY	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-RIX5P6Y	0.8619155541274073	-0.03026312735009605
galactose_4802-omicsintegrator2-params-KSSGLIJ	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-VOU2GLP	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-3XS3BUE	-2.2567664987265172	4.9778438844317705
galactose_4802-omicsintegrator2-params-GWFZFC3	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-BBDIWEE	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-WSTZQ5T	-2.2567664987265172	4.9778438844317705
galactose_4802-omicsintegrator2-params-FCBNYQN	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-ZK2ZPTQ	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-E7S3CYK	0.8619155541274073	-0.03026312735009605
galactose_4802-omicsintegrator2-params-JDGM2QR	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-2VM5MQL	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-O2NMIFG	-2.2567664987265172	4.9778438844317705
galactose_4802-omicsintegrator2-params-GIILIYF	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-DGG4UVF	-2.1369570186846545	-0.7798245799925058
galactose_4802-omicsintegrator2-params-CIOIRMT	-2.2567664987265172	4.9778438844317705
